pos_genes,neg_genes
PLEKHO1,ZCCHC17
OSBPL3,COL4A2
PCDHB8,NYNRIN
USP33,PIGQ
ASGR1,SHANK2
CREBRF,DCAF15
SLC25A17,AKR7A2P1
ZSWIM4,LOC554206
LOC101928433,CCDC191
TMEM268,CHST9
NAGPA,RPAIN
GOLPH3,ZBED6CL
SLC31A1,SPA17
NAXD,THAP8
CIDEC,ACSM5
DPH3P1,CTGF
CTSK,C12orf73
ING3,GNG2
TMEM243,PAK3
VASH2,TNR
MMACHC,ADAP2
CAVIN4,KCNN3
SLC45A4,SLC39A12
RPL15,TUBB8P12
PDIK1L,LOC100507516
PAQR3,MMAA
ZNF124,HIST1H2BL
UCHL5,LRRC42
C4orf33,KLRG1
GHRLOS,IL33
PDCL,TMEM209
EPB41L1,TSPOAP1
ZNF212,RNF150
PPIP5K2,S100A10
ZNF213,GNB2
ZSCAN9,RPS20
MALAT1,TMEFF2
TMEM127,TUBB6
WIPI1,CREG1
RHOBTB1,DRAIC
ANKRD20A12P,GRAMD4
TMEM35A,ANXA11
ANKRD37,WFS1
MAP4K2,TMEM18
XPO4,ARL16
MX1,PIWIL4
ZNF385D,MT1E
PPARD,SLIT3
CNNM2,OPHN1
PCP4,C16orf74
ZBTB45,HSPB11
GFM1,UTP11
SRFBP1,NPDC1
NQO2,TBCA
TM7SF3,ADGRG1
UBAP1L,TXN
PDXK,PTPRF
SMARCC2,PNMA8A
TUBGCP5,ARMC10
MRPS11,RASGEF1C
TIMM23B,RAB11FIP4
COX17,TCTE1
IRAK1,RUNX1T1
SRSF1,MEIS2
MIR22HG,OGG1
ABCA6,MAP3K5
LINC00265,PLAC9
AVPI1,NPM3
LDLRAD4,MT1L
AUH,FNDC3A
ATP8B2,TMEM238
SYT15,CYP2R1
SCARNA17,CD200
SMG9,RARRES3
CMPK1,LOC100507351
CNNM1,DYRK3
IGLL3P,PKNOX1
MFSD9,GET4
ZNF655,MSANTD1
SFTPA1,NUDT11
ZNF664,FLRT1
CACNA1A,GRIK3
SLC49A3,CDC42
RP9,RPL39
ADAM20,KRT17
PIK3CB,LIX1L
ACSS2,RPL8
TSPAN9,ROBO1
IER5,EDN1
AVEN,FAM129B
ZNF394,COPRS
HS3ST1,AP3S1
NXPE3,NMT1
IL15RA,SLC8A3
WDR45,TMEM233
JADE1,CHMP2A
FAM171A1,PAXBP1-AS1
PEG3,GPSM1
SCLT1,AMZ2P1
CCSER1,CCL28
ABRACL,LOC728989
SPTBN4,SLC1A4
THEMIS2,ACTR3B
MRGPRF,SRD5A3
LYSMD4,ENY2
ZNF641,HDC
CBLN4,GABRB3
COL5A2,FAM122C
EIF4G2,MFSD14A
FAM209A,DR1
ATP4A,MAF
YOD1,NDUFA6-AS1
RGS6,MAPK1
ATXN1,KRT86
ICA1,TIMM8B
CCDC186,C2orf80
CNTNAP1,THRA
RPGR,AHRR
PCDH7,DPYSL4
GAS6,ZNF331
EMX1,TOMM6
SLTM,CCR5
CACNG6,SLC16A9
CEP85L,NFKBIE
ZNF629,DBX2
RMDN2,IL34
CKMT1A,MYCN
MTMR4,TSPAN2
SYNE1,ACCS
TSEN2,BRWD1
XPR1,APOM
ALDOC,SAMD9L
CALCOCO1,DNAH12
NDUFS1,CAPZB
CCDC51,RNF181
SETD7,GLG1
TMEM170B,SAMD15
INF2,C1orf50
LARP4,ADRB2
PLCL1,SEC14L2
NTN4,LOC101927420
KLHL20,EEF1G
PANK1,APOE
TPMT,CDC16
RGS5,GLUD1
PKDCC,PSIP1
CHD1L,EXOC3-AS1
PBX3,PTN
LOC401357,MED16
RBFOX1,PLCB2
RP9P,CEP112
MOGAT1,COG1
PRDM1,NUS1
SOGA3,SIX3
